id,trap_id,site,habitat,date_set,sample_round,notes,sp_code,count,family,genus,species
1,1,site_1,longleaf,2010-10-09,1,NA,p_ign,1,Scarabaeidae,Phanaeus,igneus floridanus
1,1,site_1,longleaf,2010-10-09,1,NA,b_dep,1,Scarabaeidae,Boreocanthon,depressipennis
1,1,site_1,longleaf,2010-10-09,1,NA,o_tub,2,Scarabaeidae,Onthophagus,tuberculifrons
1,1,site_1,longleaf,2010-10-09,1,NA,o_okl,0,Scarabaeidae,Onthophagus,oklahomensis (or pennsylvanicus oct-march)
1,1,site_1,longleaf,2010-10-09,1,NA,a_cam,1,Scarabaeidae,Aphodius,campestris
1,1,site_1,longleaf,2010-10-09,1,NA,o_hec,0,Scarabaeidae,Onthophagus,hecate
1,1,site_1,longleaf,2010-10-09,1,NA,m_bis,0,Scarabaeidae,Melanocanthon,bispinatus
1,1,site_1,longleaf,2010-10-09,1,NA,g_vir,0,Scarabaeidae,Glaphyrocanthon,v. viridis
1,1,site_1,longleaf,2010-10-09,1,NA,p_pro,0,Scarabaeidae,Peltotrupes,profundus or youngi
1,1,site_1,longleaf,2010-10-09,1,NA,b_for,0,Scarabaeidae,Blackburneus,fordi
1,1,site_1,longleaf,2010-10-09,1,NA,a_lec,0,Scarabaeidae,Ateuchus,lecontei
1,1,site_1,longleaf,2010-10-09,1,NA,a_bic,0,Scarabaeidae,Aphodius,bicolor
1,1,site_1,longleaf,2010-10-09,1,NA,a_cra,0,Scarabaeidae,Aphodius,crassulus
1,1,site_1,longleaf,2010-10-09,1,NA,a_stu,0,Scarabaeidae,Aphodius,stupidus
1,1,site_1,longleaf,2010-10-09,1,NA,m_pun,0,Scarabaeidae,Melanocanthon,punctaticollis
1,1,site_1,longleaf,2010-10-09,1,NA,o_aci,0,Scarabaeidae,Onthophagus,aciculatulus
1,1,site_1,longleaf,2010-10-09,1,NA,a_liv,0,Scarabaeidae,Aphodius,lividus
1,1,site_1,longleaf,2010-10-09,1,NA,d_car,0,Scarabaeidae,Dichotomius,carolinus
1,1,site_1,longleaf,2010-10-09,1,NA,o_con,0,Scarabaeidae,Onthophagus,concinnus
1,1,site_1,longleaf,2010-10-09,1,NA,o_str,0,Scarabaeidae,Onthophagus,striatulus floridanus
1,1,site_1,longleaf,2010-10-09,1,NA,a_cyl,0,Scarabaeidae,Ataenius,cylindrus ?
1,1,site_1,longleaf,2010-10-09,1,NA,g_bla,0,Scarabaeidae,Geotrupes,b. blackburnii
1,1,site_1,longleaf,2010-10-09,1,NA,o_pen,0,Scarabaeidae,Onthophagus,pennsylvanicus
1,1,site_1,longleaf,2010-10-09,1,NA,a_rub,0,Scarabaeidae,Aphodius,rubeolus
